id;kvk;naam;type;identifier
f3fd8e8b-3cda-4cce-8b14-f30660b280cf;09214922;Gemeente Rozendaal;Gemeente;GM0277
5865ebcf-d7a8-4953-bb4f-4e4561a638f4;09215631;Gemeente Aalten;Gemeente;GM0197
9186debb-8157-4645-b316-d5250210178e;09215639;Gemeente Rijnwaarden;Overig;
ddacb1e3-4f73-47ec-9e52-ea200b917b24;09215646;Gemeente Ede;Gemeente;GM0228
0cd36acb-dab4-4d99-80e0-2faa946390ad;09215649;Gemeente Renkum;Gemeente;GM0274
79981492-c9ed-4cd8-8491-c2876e7550dd;09215668;Gemeente Doetinchem;Gemeente;GM0222
92a36d7c-c1d3-4041-a367-ba7ce8c369d2;09215819;Gemeente Mook en Middelaar;Gemeente;GM0944
0b1cd6b4-55f1-4194-9e1e-b3becac4baac;09216322;Gemeente Wageningen;Gemeente;GM0289
5cad2594-e29e-4e36-b417-db5b4af083bd;09217727;Gemeente Duiven;Gemeente;GM0226
06904594-a12e-48d1-9229-b9b7f88aa68a;09217772;Gemeente Montferland;Gemeente;GM1955
a0c9d485-2927-4438-a831-f53df2882157;09218559;Gemeente Bronckhorst;Gemeente;GM1876
c4f661db-54ef-43a5-b3da-0ffde436392e;09219446;Gemeente Winterswijk;Gemeente;GM0294
f2223354-9c60-4550-ae62-177235c05378;09220932;Gemeente Nijmegen;Gemeente;GM0268
de75d37f-9b5c-4333-96e9-b49a2191f7bc;09220971;Gemeente Oude IJsselstreek;Gemeente;GM1509
ac5df767-e77a-4d10-a322-b20d89f5db32;09222121;Gemeente Doesburg;Gemeente;GM0221
16648016-36d3-405b-b3c9-77b93136a937;11020958;Van de Beek kabels-Leidingen B.V.;Overig;
cbf0c56a-7e07-48ef-b592-a742dea64f63;11067758;Gemeente Zederik;Overig;
5ed2f093-ee7a-4346-9782-c2614a0b171b;13017175;Mourik Limburg B.V.;Overig;
5aa35859-36d4-4b61-a965-4187643aa64b;13021491;Kragten;Overig;
2266d98a-b6f2-47e0-b581-1aff388e4c29;13038286;Econsultancy B.V.;Overig;
2d76183b-fa12-4701-b43a-2a31c9d1dc72;14048726;Geonius Geotechniek B.V.;Overig;
db72c0aa-bf06-4189-85f0-08e3920396b4;14117104;Gemeente Roermond;Gemeente;GM0957
92c684e5-74cd-4c88-9976-8ed6fa4f815d;14128451;Gemeente Heerlen;Gemeente;GM0917
149cf3b9-f2ef-4dfa-9e9b-299c3d7e4fac;14129999;Gemeente Brunssum;Gemeente;GM0899
2a37d2cb-4ad9-4106-83a0-2d66b0a054bc;14130475;Gemeente Sittard-Geleen;Gemeente;GM1883
ca55728b-73f5-411b-8aaf-a5e3c7146ceb;14130612;Gemeente Horst aan de Maas;Gemeente;GM1507
